,feature_name
SRSF7,SRSF7
B2M,B2M
SARAF,SARAF
S100A6,S100A6
NFKBIA,NFKBIA
SPI1,SPI1
HLA-DPB1,HLA-DPB1
DUSP1,DUSP1
FTH1,FTH1
HSPA5,HSPA5
S100A9,S100A9
FABP5,FABP5
SMCHD1,SMCHD1
IGHA1,IGHA1
CST7,CST7
HBA2,HBA2
IL7R,IL7R
LMO2,LMO2
NKG7,NKG7
JUNB,JUNB
DAZAP2,DAZAP2
IGKC,IGKC
PPP1R15A,PPP1R15A
XCL2,XCL2
IL32,IL32
C1QA,C1QA
BASP1,BASP1
TNFAIP2,TNFAIP2
RFLNB,RFLNB
SYNE2,SYNE2
PER1,PER1
C1QB,C1QB
ZFP36L1,ZFP36L1
CXCR4,CXCR4
ITPKB,ITPKB
INSIG1,INSIG1
CTSH,CTSH
LITAF,LITAF
YWHAH,YWHAH
ZNF281,ZNF281
TRDC,TRDC
CD3G,CD3G
EML4,EML4
GPR65,GPR65
RBM23,RBM23
LYZ,LYZ
CD300E,CD300E
ATP2B1-AS1,ATP2B1-AS1
HMGN2,HMGN2
ANXA1,ANXA1
CCL3L3,CCL3L3
TRBC2,TRBC2
PLEKHG2,PLEKHG2
ANXA2,ANXA2
HLA-DQA1,HLA-DQA1
HLA-DRB5,HLA-DRB5
F13A1,F13A1
TPT1,TPT1
CTSL,CTSL
HSPA1A,HSPA1A
TUBB,TUBB
APOE,APOE
HBA1,HBA1
WTAP,WTAP
TAGAP,TAGAP
AIF1,AIF1
CFD,CFD
LCP1,LCP1
DERL3,DERL3
MS4A7,MS4A7
ISG20,ISG20
APLP2,APLP2
MPEG1,MPEG1
ARPC1B,ARPC1B
ATP2A3,ATP2A3
SH3BP5,SH3BP5
TNFAIP6,TNFAIP6
IFNGR1,IFNGR1
CCNL1,CCNL1
IRF8,IRF8
IGHD,IGHD
BANK1,BANK1
CKAP4,CKAP4
KLRD1,KLRD1
NAMPT,NAMPT
CD74,CD74
HCLS1,HCLS1
HLA-DMB,HLA-DMB
HRH2,HRH2
GZMH,GZMH
RRBP1,RRBP1
GRN,GRN
ZNF445,ZNF445
ABCA7,ABCA7
LTB,LTB
NR4A2,NR4A2
GZMM,GZMM
IER3,IER3
SAMSN1,SAMSN1
TRAF5,TRAF5
TPM4,TPM4
PLAUR,PLAUR
MYADM,MYADM
CCL4,CCL4
GPR183,GPR183
IGKV2D-28,IGKV2D-28
PILRA,PILRA
TXNIP,TXNIP
CD68,CD68
RBP4,RBP4
FGFBP2,FGFBP2
TRBC1,TRBC1
CYBB,CYBB
