,feature_name
NSMCE1,NSMCE1
CRYBG1,CRYBG1
ADA2,ADA2
VPS13A,VPS13A
RGS18,RGS18
MSC,MSC
NPC2,NPC2
PUS10,PUS10
ZNF595,ZNF595
SERPING1,SERPING1
DHRS9,DHRS9
PHKA2,PHKA2
TBP,TBP
TRAT1,TRAT1
ZEB2,ZEB2
GIMAP4,GIMAP4
UBE2S,UBE2S
AGFG1,AGFG1
HPGD,HPGD
DNAH17,DNAH17
TENT5C,TENT5C
PAX5,PAX5
PTPRJ,PTPRJ
TFDP2,TFDP2
MAD2L2,MAD2L2
FBXO32,FBXO32
MAP2K3,MAP2K3
DCAF12,DCAF12
SLC1A3,SLC1A3
IGKV1-16,IGKV1-16
SDS,SDS
STX1A,STX1A
ENPP5,ENPP5
CHAMP1,CHAMP1
UBB,UBB
THAP2,THAP2
PYGL,PYGL
OXR1,OXR1
HTR7,HTR7
VEGFA,VEGFA
CA6,CA6
TRAV8-6,TRAV8-6
SPAG1,SPAG1
FSTL1,FSTL1
SYNGR2,SYNGR2
GPRIN3,GPRIN3
GCA,GCA
SMG5,SMG5
MT1F,MT1F
TRBV18,TRBV18
CD28,CD28
THSD1,THSD1
DNAJC5B,DNAJC5B
IGHV1-3,IGHV1-3
EFNA5,EFNA5
KIAA1671,KIAA1671
FGF14-AS2,FGF14-AS2
PLA2G15,PLA2G15
RBM14,RBM14
ZNF224,ZNF224
IGKV1D-8,IGKV1D-8
CCR1,CCR1
IQGAP1,IQGAP1
CHIT1,CHIT1
XPO6,XPO6
ACTA1,ACTA1
IRF7,IRF7
FERMT3,FERMT3
AP5Z1,AP5Z1
MDM2,MDM2
NEK1,NEK1
SEZ6,SEZ6
ST8SIA6,ST8SIA6
CCR7,CCR7
FAM89A,FAM89A
TMEM43,TMEM43
MEX3C,MEX3C
LINC01550,LINC01550
PGAP1,PGAP1
PLIN3,PLIN3
ARID5B,ARID5B
ITGAL,ITGAL
ZNF296,ZNF296
CREBRF,CREBRF
FANK1,FANK1
TRIB1,TRIB1
CLSTN3,CLSTN3
FYN,FYN
CBLB,CBLB
MEFV,MEFV
B3GAT2,B3GAT2
ESR2,ESR2
AQP9,AQP9
TSEN54,TSEN54
CACYBP,CACYBP
SESN1,SESN1
TOX,TOX
GNAQ,GNAQ
RAB27B,RAB27B
CD59,CD59
BCL2L15,BCL2L15
ZMIZ2,ZMIZ2
SLC12A2,SLC12A2
TFCP2L1,TFCP2L1
NBL1,NBL1
YBX3,YBX3
MEGF9,MEGF9
RNASE6,RNASE6
DGKH,DGKH
MVD,MVD
HCAR2,HCAR2
AP4B1,AP4B1
ZNF598,ZNF598
KIAA0825,KIAA0825
FOSL1,FOSL1
HEXB,HEXB
IMPACT,IMPACT
SULT1A1,SULT1A1
SMAD7,SMAD7
TMEM205,TMEM205
RND1,RND1
NFIB,NFIB
CAST,CAST
LILRA2,LILRA2
RAB6B,RAB6B
PPM1F,PPM1F
CLDN5,CLDN5
YPEL5,YPEL5
IGHV3-49,IGHV3-49
HEXIM1,HEXIM1
LINC02397,LINC02397
SMPD3,SMPD3
CXCR2,CXCR2
PTPN4,PTPN4
OSBPL2,OSBPL2
THBD,THBD
FKBP5,FKBP5
CHMP3,CHMP3
KLRC2,KLRC2
SELENBP1,SELENBP1
VNN1,VNN1
DDR2,DDR2
IGKV3-20,IGKV3-20
ZWINT,ZWINT
IFITM3,IFITM3
GPR171,GPR171
CELA1,CELA1
ENOX2,ENOX2
DPH6,DPH6
CFAP45,CFAP45
ALOX5,ALOX5
STK17A,STK17A
IGHV5-10-1,IGHV5-10-1
BOD1L1,BOD1L1
PRAM1,PRAM1
MYO1C,MYO1C
KCNJ2,KCNJ2
SLC39A8,SLC39A8
NABP1,NABP1
SDF2L1,SDF2L1
ZBED2,ZBED2
TRBV6-5,TRBV6-5
UPP1,UPP1
TRAV13-1,TRAV13-1
PGS1,PGS1
CASP3,CASP3
PHOSPHO1,PHOSPHO1
SDHAF2,SDHAF2
NEK5,NEK5
MGAT5,MGAT5
CD96,CD96
COBLL1,COBLL1
MARCO,MARCO
IL2,IL2
SAG,SAG
ATAD2B,ATAD2B
HDC,HDC
MYH11,MYH11
PLXNA4,PLXNA4
TUBA4A,TUBA4A
PLCL1,PLCL1
CXCL1,CXCL1
LRP2BP,LRP2BP
TRAV38-2DV8,TRAV38-2DV8
PLIN2,PLIN2
UBN2,UBN2
SENP2,SENP2
TBX21,TBX21
ACP5,ACP5
HIF1A,HIF1A
HSPA12A,HSPA12A
JMJD6,JMJD6
GYG1,GYG1
ARFGEF1,ARFGEF1
HLA-DQB1,HLA-DQB1
ADAP2,ADAP2
RNF24,RNF24
SPPL3,SPPL3
FASLG,FASLG
PRDM1,PRDM1
STAM2,STAM2
PARP8,PARP8
NFKBIZ,NFKBIZ
COLGALT1,COLGALT1
MTFP1,MTFP1
ULBP2,ULBP2
RALGPS2,RALGPS2
CAPN12,CAPN12
NT5C3A,NT5C3A
SIT1,SIT1
ANPEP,ANPEP
IFFO2,IFFO2
GNA13,GNA13
TRBV29-1,TRBV29-1
VPS37A,VPS37A
NLRP6,NLRP6
IRAK3,IRAK3
KCNAB2,KCNAB2
CTDSPL,CTDSPL
SNX18,SNX18
OSBPL5,OSBPL5
ARID1A,ARID1A
HPGDS,HPGDS
NFATC1,NFATC1
DGKZ,DGKZ
CALHM6,CALHM6
PNMA1,PNMA1
PPARG,PPARG
TMEM158,TMEM158
IMPA1,IMPA1
IGHV3-73,IGHV3-73
TTPAL,TTPAL
S100PBP,S100PBP
MYO7B,MYO7B
SVIP,SVIP
LPAR2,LPAR2
GLRX5,GLRX5
CFP,CFP
ZFP36L2,ZFP36L2
SLC43A2,SLC43A2
ST6GALNAC2,ST6GALNAC2
RCSD1,RCSD1
CST3,CST3
INHBB,INHBB
GLB1L2,GLB1L2
SKAP1,SKAP1
MERTK,MERTK
REL,REL
COL19A1,COL19A1
FBLN7,FBLN7
GBE1,GBE1
IGHV1-24,IGHV1-24
GRAP2,GRAP2
MET,MET
ACVR1C,ACVR1C
SYAP1,SYAP1
ANXA5,ANXA5
RNASEH2A,RNASEH2A
SLC23A2,SLC23A2
ADAMTS1,ADAMTS1
TPM1,TPM1
LRRC25,LRRC25
RPAP2,RPAP2
WWP2,WWP2
LIMCH1,LIMCH1
FCRL1,FCRL1
APBB1,APBB1
ZNF563,ZNF563
SNTB2,SNTB2
RESF1,RESF1
LINC01781,LINC01781
CLEC2B,CLEC2B
NLRC3,NLRC3
CHSY1,CHSY1
SELPLG,SELPLG
SNX22,SNX22
RTN3,RTN3
CSF1R,CSF1R
SDCBP,SDCBP
ZNF267,ZNF267
CDKN2D,CDKN2D
GTF2IRD2,GTF2IRD2
PACC1,PACC1
ATXN1,ATXN1
TC2N,TC2N
GMIP,GMIP
MON2,MON2
ASCL2,ASCL2
ASPM,ASPM
USP32,USP32
PRKAR2B,PRKAR2B
FBXL2,FBXL2
SH3YL1,SH3YL1
AEBP1,AEBP1
WDR17,WDR17
ZNF827,ZNF827
BCL2L11,BCL2L11
ZNF683,ZNF683
CXXC5,CXXC5
BHLHE41,BHLHE41
LINC01215,LINC01215
RCAN3,RCAN3
ZNF208,ZNF208
GCOM1,GCOM1
ITGB5,ITGB5
DNAAF1,DNAAF1
FBH1,FBH1
TPD52,TPD52
AFAP1L2,AFAP1L2
MECP2,MECP2
FUCA1,FUCA1
PPM1N,PPM1N
ALDOB,ALDOB
PSTPIP2,PSTPIP2
SHKBP1,SHKBP1
UPK3BL1,UPK3BL1
CCDC50,CCDC50
SRXN1,SRXN1
RNF125,RNF125
RIMKLB,RIMKLB
CCNA2,CCNA2
RP2,RP2
STX11,STX11
CCL2,CCL2
SLCO2B1,SLCO2B1
MAX,MAX
TESC,TESC
INTS1,INTS1
MITF,MITF
TMEM192,TMEM192
PGD,PGD
PRKD2,PRKD2
MXD1,MXD1
LCOR,LCOR
HVCN1,HVCN1
PRC1,PRC1
VAV3,VAV3
FCHSD1,FCHSD1
RAB11FIP1,RAB11FIP1
FMNL1,FMNL1
ERO1B,ERO1B
TP53INP1,TP53INP1
COL5A3,COL5A3
TRAV14DV4,TRAV14DV4
ANKRD33B,ANKRD33B
SGMS1,SGMS1
CAV2,CAV2
BIK,BIK
HEY1,HEY1
UBE2J1,UBE2J1
TCAF2,TCAF2
ARL4A,ARL4A
SP140,SP140
CHML,CHML
TAF1C,TAF1C
TMSB4X,TMSB4X
NFKBID,NFKBID
SMG7,SMG7
TRABD2A,TRABD2A
ANKRD54,ANKRD54
CYB561A3,CYB561A3
MED12,MED12
IFRD1,IFRD1
LXN,LXN
APOBEC3A,APOBEC3A
DCTN1,DCTN1
INKA2,INKA2
DBNDD1,DBNDD1
FHDC1,FHDC1
KCNAB3,KCNAB3
IGHV3-74,IGHV3-74
TMEM37,TMEM37
ACAD9,ACAD9
LILRB3,LILRB3
METTL22,METTL22
QSOX1,QSOX1
TRBV3-1,TRBV3-1
CUL5,CUL5
TSPAN4,TSPAN4
GPM6A,GPM6A
ZNF283,ZNF283
ZKSCAN2-DT,ZKSCAN2-DT
NEDD4,NEDD4
YPEL3,YPEL3
NLRP3,NLRP3
SOCS1,SOCS1
NRBF2,NRBF2
PARVG,PARVG
MAL,MAL
TGFB1,TGFB1
FDXR,FDXR
SUGCT,SUGCT
IP6K1,IP6K1
GTPBP1,GTPBP1
NCKAP5L,NCKAP5L
JAM3,JAM3
CYSTM1,CYSTM1
TMEM38A,TMEM38A
ARHGAP1,ARHGAP1
STAP1,STAP1
ZNF519,ZNF519
TAPT1,TAPT1
KIF22,KIF22
SLC8A1,SLC8A1
IRF4,IRF4
TRAV21,TRAV21
DGKE,DGKE
ABCA2,ABCA2
SRPK1,SRPK1
ITK,ITK
NOM1,NOM1
HES6,HES6
INTS6,INTS6
MCTP2,MCTP2
ZBTB10,ZBTB10
SPG11,SPG11
SNHG25,SNHG25
CDC42BPG,CDC42BPG
PIK3R5,PIK3R5
DOK3,DOK3
NBR1,NBR1
SPTLC2,SPTLC2
SULT1B1,SULT1B1
CSRNP1,CSRNP1
IQCH,IQCH
IRAK2,IRAK2
DNAJC5,DNAJC5
RRP1,RRP1
GLIS3,GLIS3
DZIP3,DZIP3
GRIPAP1,GRIPAP1
BOLA2B,BOLA2B
ZNF141,ZNF141
CD24,CD24
PROX1,PROX1
ABCC2,ABCC2
IFIT2,IFIT2
MAGEH1,MAGEH1
ILK,ILK
HBM,HBM
SGSM1,SGSM1
LY9,LY9
PGC,PGC
PDE4DIP,PDE4DIP
BMP6,BMP6
NUCB2,NUCB2
ABHD5,ABHD5
SC5D,SC5D
HSPA8,HSPA8
IGKV3-15,IGKV3-15
DLL1,DLL1
LARP4B,LARP4B
HMGCS1,HMGCS1
ARPC5,ARPC5
AGTRAP,AGTRAP
NT5E,NT5E
PIP5KL1,PIP5KL1
CD44,CD44
CAPN5,CAPN5
AGPS,AGPS
CHI3L1,CHI3L1
MTSS1,MTSS1
KYNU,KYNU
LBH,LBH
TRBV12-3,TRBV12-3
PNP,PNP
VNN2,VNN2
RNGTT,RNGTT
SH2D2A,SH2D2A
MAP4K5,MAP4K5
S100A1,S100A1
TFRC,TFRC
ORM2,ORM2
MAP7D3,MAP7D3
POU2AF1,POU2AF1
GSTM4,GSTM4
SIRPA,SIRPA
WDR74,WDR74
NTRK1,NTRK1
CPNE3,CPNE3
IDS,IDS
RCC1,RCC1
TNIK,TNIK
FHIT,FHIT
SLA,SLA
CISH,CISH
PTGER4,PTGER4
ITGAM,ITGAM
KBTBD6,KBTBD6
SLC38A2,SLC38A2
GOLGA3,GOLGA3
PPM1A,PPM1A
SEMA4D,SEMA4D
RNF145,RNF145
CCAR2,CCAR2
IL18,IL18
MFAP3L,MFAP3L
FJX1,FJX1
ZMYND10,ZMYND10
ICE1,ICE1
EYS,EYS
LINC00910,LINC00910
LY6G6F,LY6G6F
BNIP3,BNIP3
ATP2B4,ATP2B4
IL12RB2,IL12RB2
TALDO1,TALDO1
PKN2,PKN2
IL24,IL24
ACSL4,ACSL4
PPP1R14A,PPP1R14A
RAG1,RAG1
TRGV9,TRGV9
CFH,CFH
SLC15A4,SLC15A4
RCHY1,RCHY1
PICK1,PICK1
TCIRG1,TCIRG1
NEGR1,NEGR1
AKAP6,AKAP6
PHC2,PHC2
KRT81,KRT81
TRBV6-2,TRBV6-2
B4GALT6,B4GALT6
ZDHHC18,ZDHHC18
FAM177A1,FAM177A1
SAP30,SAP30
P2RX7,P2RX7
PTPN12,PTPN12
CCND2,CCND2
PLVAP,PLVAP
EBF1,EBF1
LY96,LY96
GATA2,GATA2
NMB,NMB
ABLIM1,ABLIM1
TRBV4-2,TRBV4-2
CFAP20,CFAP20
TMEM106C,TMEM106C
RHOC,RHOC
MT1X,MT1X
PPP3CB,PPP3CB
APC,APC
PPP2R3A,PPP2R3A
ATP11A,ATP11A
PLXND1,PLXND1
KIZ,KIZ
SMIM22,SMIM22
WNT11,WNT11
EPM2A,EPM2A
ZC3H8,ZC3H8
MAPK6,MAPK6
ETS1,ETS1
GPNMB,GPNMB
BCL3,BCL3
RALGAPA2,RALGAPA2
LCN10,LCN10
SLC5A5,SLC5A5
TIFA,TIFA
PHACTR4,PHACTR4
NOD2,NOD2
EPB41L3,EPB41L3
ANGPT1,ANGPT1
SEPTIN11,SEPTIN11
EVC2,EVC2
PSD4,PSD4
IGHV3-23,IGHV3-23
KCTD6,KCTD6
RAF1,RAF1
CDS2,CDS2
ETS2,ETS2
HLA-DQA2,HLA-DQA2
KLF4,KLF4
MYBPC2,MYBPC2
TNFSF15,TNFSF15
ANKRD9,ANKRD9
ZNF829,ZNF829
ATP7A,ATP7A
CITED2,CITED2
BNIP3L,BNIP3L
SAR1B,SAR1B
ADAM19,ADAM19
LINC01176,LINC01176
MICU1,MICU1
PLEKHM2,PLEKHM2
FAM193A,FAM193A
TRIM72,TRIM72
ASH2L,ASH2L
MEG3,MEG3
CDC14A,CDC14A
DDB2,DDB2
B3GNT2,B3GNT2
ELL2,ELL2
TNFSF11,TNFSF11
MCOLN1,MCOLN1
NT5C,NT5C
IDO1,IDO1
RNPC3,RNPC3
CCDC159,CCDC159
PRF1,PRF1
UNC13D,UNC13D
ITPRIP,ITPRIP
EGR2,EGR2
PTMS,PTMS
ENOSF1,ENOSF1
LINC00996,LINC00996
SH2D1A,SH2D1A
USP39,USP39
TSNAX,TSNAX
IGHV6-1,IGHV6-1
POFUT1,POFUT1
SLC2A1,SLC2A1
CNST,CNST
ZNF277,ZNF277
DEPTOR,DEPTOR
RAMP2,RAMP2
MYLK4,MYLK4
MAP1B,MAP1B
ENAH,ENAH
LAPTM4B,LAPTM4B
MBOAT7,MBOAT7
DOP1B,DOP1B
PPFIBP1,PPFIBP1
PLXDC2,PLXDC2
CPNE7,CPNE7
SLC22A15,SLC22A15
DTHD1,DTHD1
LINC01588,LINC01588
SOCS2,SOCS2
AGO2,AGO2
MZB1,MZB1
FXR2,FXR2
BST1,BST1
GREB1L,GREB1L
TRIM56,TRIM56
MYD88,MYD88
CATIP,CATIP
ENPP1,ENPP1
RIPK2,RIPK2
ANK3,ANK3
SUPV3L1,SUPV3L1
LINC00623,LINC00623
HERC5,HERC5
BCAS4,BCAS4
TNFRSF12A,TNFRSF12A
LCORL,LCORL
IQCG,IQCG
ACSL3,ACSL3
STAT5B,STAT5B
SMIM1,SMIM1
LINC00638,LINC00638
CPPED1,CPPED1
IGHV3-13,IGHV3-13
POR,POR
SLITRK5,SLITRK5
IGLV6-57,IGLV6-57
TBC1D14,TBC1D14
MMP11,MMP11
CNOT6L,CNOT6L
SPOCD1,SPOCD1
HOPX,HOPX
LINC02132,LINC02132
LRRC28,LRRC28
NAA35,NAA35
MMP23B,MMP23B
CDK6,CDK6
CAVIN2,CAVIN2
LLGL2,LLGL2
KIR2DL1,KIR2DL1
TRAV23DV6,TRAV23DV6
CEP128,CEP128
CCDC171,CCDC171
ATP8A1,ATP8A1
CD302,CD302
DENND3,DENND3
STRADA,STRADA
TBXAS1,TBXAS1
TCOF1,TCOF1
APP,APP
ZNF425,ZNF425
CHORDC1,CHORDC1
SSR4,SSR4
KLF1,KLF1
ZAP70,ZAP70
NCKAP1,NCKAP1
SHROOM4,SHROOM4
GADD45G,GADD45G
MIR222HG,MIR222HG
MCF2,MCF2
ARVCF,ARVCF
EZH2,EZH2
PRKCA,PRKCA
TRAV2,TRAV2
TRDV1,TRDV1
GAN,GAN
SAMD14,SAMD14
HCG27,HCG27
TCHH,TCHH
TRBV12-4,TRBV12-4
ITPR1,ITPR1
RNF157,RNF157
CA2,CA2
UBE2T,UBE2T
CARHSP1,CARHSP1
ADAP1,ADAP1
ITM2B,ITM2B
PRPS2,PRPS2
MPP1,MPP1
ZCCHC18,ZCCHC18
CR2,CR2
ZNF101,ZNF101
SCIN,SCIN
TNNI3,TNNI3
CD37,CD37
ITGA6,ITGA6
MYO3B,MYO3B
SPG7,SPG7
CDKN3,CDKN3
NUP85,NUP85
PDK4,PDK4
RASGEF1A,RASGEF1A
LINC02384,LINC02384
LRRK2,LRRK2
CLIC6,CLIC6
TENT5A,TENT5A
OTUD1,OTUD1
EFHC2,EFHC2
ACSM3,ACSM3
ACOD1,ACOD1
DRAXIN,DRAXIN
FAM219A,FAM219A
TES,TES
ADIRF,ADIRF
EGLN1,EGLN1
KIR3DX1,KIR3DX1
MAN2C1,MAN2C1
HAPLN3,HAPLN3
CDHR1,CDHR1
PLPP5,PLPP5
GIMAP6,GIMAP6
FOXO1,FOXO1
DGKD,DGKD
PEG10,PEG10
SPEF2,SPEF2
EMSY,EMSY
RRAS2,RRAS2
CGAS,CGAS
FCHO2,FCHO2
GALNT7,GALNT7
RHCE,RHCE
IGLL1,IGLL1
MX1,MX1
ANKRD36C,ANKRD36C
RUNX2,RUNX2
SERPINB8,SERPINB8
SGSM2,SGSM2
OTOF,OTOF
FBXO38,FBXO38
THEMIS,THEMIS
KLRG1,KLRG1
TRGV4,TRGV4
LUC7L,LUC7L
CMC1,CMC1
MFN2,MFN2
KLHL21,KLHL21
FNBP1L,FNBP1L
TRAV27,TRAV27
NREP,NREP
PPP1R9A,PPP1R9A
TSPAN5,TSPAN5
PNPLA1,PNPLA1
S1PR5,S1PR5
TRBV11-2,TRBV11-2
NBEAL2,NBEAL2
NCR3,NCR3
TRIM25,TRIM25
AKAP9,AKAP9
PTTG1,PTTG1
TRAV9-2,TRAV9-2
PFN1,PFN1
CHFR,CHFR
TNRC6C,TNRC6C
PVRIG,PVRIG
PTCH1,PTCH1
SLC7A11,SLC7A11
MACROD2,MACROD2
CRIP2,CRIP2
CTSG,CTSG
ULK1,ULK1
CXCL10,CXCL10
TRBV5-4,TRBV5-4
HGS,HGS
RNF19B,RNF19B
PEAR1,PEAR1
KIT,KIT
RMI2,RMI2
IGLL5,IGLL5
ZEB1,ZEB1
MSL1,MSL1
LRP12,LRP12
GASK1B,GASK1B
TCF12,TCF12
MAP1LC3A,MAP1LC3A
TMEM40,TMEM40
MR1,MR1
PLCE1,PLCE1
PBX4,PBX4
XPR1,XPR1
ZBTB43,ZBTB43
PMCH,PMCH
RNF10,RNF10
AHR,AHR
FAM8A1,FAM8A1
CLCF1,CLCF1
MT1G,MT1G
LRIF1,LRIF1
DYSF,DYSF
CC2D2B,CC2D2B
HSD17B12,HSD17B12
TTC21A,TTC21A
CCDC28B,CCDC28B
PROS1,PROS1
FCRL5,FCRL5
ZC3H11A,ZC3H11A
ZNF75D,ZNF75D
TRGV10,TRGV10
PLEKHG3,PLEKHG3
PRKCD,PRKCD
BBC3,BBC3
LMO4,LMO4
LHFPL2,LHFPL2
IGHV3-64D,IGHV3-64D
PEX11G,PEX11G
CDK17,CDK17
RETREG1,RETREG1
CNTROB,CNTROB
SELP,SELP
REPS2,REPS2
CCDC65,CCDC65
PIR,PIR
SYCP3,SYCP3
CXCR3,CXCR3
PLXNB2,PLXNB2
PRR4,PRR4
DDX43,DDX43
CBX4,CBX4
LAT2,LAT2
TACSTD2,TACSTD2
CHST2,CHST2
PBX2,PBX2
RNF144B,RNF144B
ARFGAP1,ARFGAP1
LHPP,LHPP
TSPAN3,TSPAN3
SNX10,SNX10
EOMES,EOMES
LCN2,LCN2
LINC02076,LINC02076
PLSCR1,PLSCR1
FHL3,FHL3
ZNF714,ZNF714
RDH10,RDH10
ENO2,ENO2
SAMD4B,SAMD4B
PLIN5,PLIN5
ORAI2,ORAI2
SLC25A34,SLC25A34
LINC02227,LINC02227
GOLGA6L9,GOLGA6L9
ACAD8,ACAD8
ASPH,ASPH
BRAP,BRAP
WDR36,WDR36
LINC02067,LINC02067
PLCXD2,PLCXD2
FNDC3B,FNDC3B
CCDC146,CCDC146
GEM,GEM
RNF149,RNF149
XPO7,XPO7
ATF4,ATF4
DMTN,DMTN
RSPH3,RSPH3
ODF3B,ODF3B
DHRS13,DHRS13
CAMK2N1,CAMK2N1
RAB20,RAB20
SERPINA1,SERPINA1
PRG2,PRG2
MIR155HG,MIR155HG
KLRK1,KLRK1
SP3,SP3
NEU1,NEU1
BCL11A,BCL11A
RAB27A,RAB27A
RNASEK,RNASEK
TNFRSF1A,TNFRSF1A
ARHGAP45,ARHGAP45
LYST,LYST
MXI1,MXI1
GPR84,GPR84
CARD11,CARD11
BCL7A,BCL7A
DENND5A,DENND5A
KEL,KEL
DPF3,DPF3
TMCC2,TMCC2
MIB2,MIB2
ATP1B3,ATP1B3
CSNK1E,CSNK1E
PTPRK,PTPRK
SLU7,SLU7
MAPK8IP3,MAPK8IP3
MAMLD1,MAMLD1
TMIGD2,TMIGD2
AP1G1,AP1G1
SIGLEC1,SIGLEC1
GPX3,GPX3
MAPK10,MAPK10
TREML4,TREML4
SCN8A,SCN8A
FGFR1,FGFR1
ANGEL2,ANGEL2
CSF3R,CSF3R
BORCS8,BORCS8
HES4,HES4
NXF1,NXF1
CDK12,CDK12
PIK3CB,PIK3CB
TMC5,TMC5
NIPBL,NIPBL
FXYD2,FXYD2
USP36,USP36
ANTXR2,ANTXR2
KRT18,KRT18
DDX60L,DDX60L
TMEM119,TMEM119
NEK8,NEK8
ACRBP,ACRBP
ZFYVE28,ZFYVE28
TRAV6,TRAV6
ABCC1,ABCC1
LINC02207,LINC02207
IGLV4-69,IGLV4-69
HHEX,HHEX
ELP1,ELP1
FHOD1,FHOD1
ARFGEF2,ARFGEF2
TNNT1,TNNT1
SLC1A2,SLC1A2
MATK,MATK
BAG3,BAG3
TECPR2,TECPR2
LINGO3,LINGO3
CAP1,CAP1
KHDRBS3,KHDRBS3
PIAS2,PIAS2
SLC44A1,SLC44A1
SMAP2,SMAP2
DLGAP4,DLGAP4
FAM3D,FAM3D
CCDC112,CCDC112
SLCO3A1,SLCO3A1
ALKBH1,ALKBH1
NEDD4L,NEDD4L
ZNF584,ZNF584
OSER1,OSER1
GLDN,GLDN
TCF3,TCF3
LINC01281,LINC01281
BEX1,BEX1
CD83,CD83
IGHV1-46,IGHV1-46
NBEAL1,NBEAL1
SMURF2,SMURF2
OSR2,OSR2
MBD6,MBD6
LTC4S,LTC4S
AGO4,AGO4
IER5L,IER5L
CCDC34,CCDC34
CHD7,CHD7
RSU1,RSU1
CLEC7A,CLEC7A
TUBB6,TUBB6
LGALS3BP,LGALS3BP
TESPA1,TESPA1
MAP3K20,MAP3K20
TCTN1,TCTN1
KDM3A,KDM3A
GRAMD1A,GRAMD1A
FMNL2,FMNL2
IGHV3-11,IGHV3-11
PCF11,PCF11
HAL,HAL
PPP1R15B,PPP1R15B
KL,KL
SMURF1,SMURF1
MTA1,MTA1
TRAV19,TRAV19
CAMK2G,CAMK2G
ABCD1,ABCD1
SESN3,SESN3
LINC02099,LINC02099
CADPS,CADPS
ARRB2,ARRB2
EZH1,EZH1
SLCO4C1,SLCO4C1
CMTM5,CMTM5
CFAP73,CFAP73
ATF3,ATF3
KLHL2,KLHL2
TMED5,TMED5
MIF,MIF
NPLOC4,NPLOC4
DUSP5,DUSP5
LDHB,LDHB
TAGLN,TAGLN
ANKRD39,ANKRD39
SETBP1,SETBP1
CLEC4G,CLEC4G
GPBP1L1,GPBP1L1
AURKC,AURKC
KCNQ1,KCNQ1
TSPAN32,TSPAN32
FGF9,FGF9
HK3,HK3
PLK3,PLK3
NFE2,NFE2
FKBP2,FKBP2
RAB18,RAB18
GPR160,GPR160
SEL1L3,SEL1L3
CDK5RAP2,CDK5RAP2
HSPB1,HSPB1
SDR42E2,SDR42E2
GZMK,GZMK
CETN2,CETN2
ZMPSTE24,ZMPSTE24
PPP4R3A,PPP4R3A
PIP4P2,PIP4P2
STEAP1B,STEAP1B
ADSL,ADSL
LINC01725,LINC01725
NXPE3,NXPE3
GSK3B,GSK3B
DCUN1D4,DCUN1D4
GBP1,GBP1
CPD,CPD
PLEKHG1,PLEKHG1
MROH1,MROH1
TREM2,TREM2
NGFR,NGFR
SNX14,SNX14
ZNF318,ZNF318
GAPDH,GAPDH
PALLD,PALLD
IGF2BP3,IGF2BP3
DSEL,DSEL
CYP19A1,CYP19A1
SCML4,SCML4
RBM38,RBM38
TNFSF9,TNFSF9
TNFSF13B,TNFSF13B
EIF4E,EIF4E
HMGN5,HMGN5
SERPINB10,SERPINB10
TULP2,TULP2
DNAJA4,DNAJA4
DUSP16,DUSP16
TAF1B,TAF1B
CYGB,CYGB
SFXN1,SFXN1
HEATR3,HEATR3
RAB3D,RAB3D
APOBR,APOBR
GATA1,GATA1
DNAH6,DNAH6
TRAV4,TRAV4
NRIP3,NRIP3
ZNF600,ZNF600
WWC3,WWC3
ZNF431,ZNF431
GRB10,GRB10
TROAP,TROAP
SPRYD3,SPRYD3
ATP8B2,ATP8B2
ARHGAP44,ARHGAP44
CCDC137,CCDC137
SPEN,SPEN
SERTAD1,SERTAD1
ZBTB48,ZBTB48
IGLV3-25,IGLV3-25
TGFB1I1,TGFB1I1
GAB1,GAB1
LEF1,LEF1
P2RX5-TAX1BP3,P2RX5-TAX1BP3
PDK3,PDK3
ACTA2,ACTA2
CHRNA10,CHRNA10
CCDC168,CCDC168
MEIOC,MEIOC
TRAF1,TRAF1
EGFL7,EGFL7
ECHDC3,ECHDC3
TRGV2,TRGV2
CHID1,CHID1
PADI4,PADI4
IL23R,IL23R
CCNB1,CCNB1
MAP4K4,MAP4K4
ZBED4,ZBED4
ICAM1,ICAM1
LINC02195,LINC02195
PILRB,PILRB
ANKZF1,ANKZF1
RFX2,RFX2
HGD,HGD
RUSC2,RUSC2
STX3,STX3
MSH6,MSH6
NEK10,NEK10
OSBP2,OSBP2
NPRL2,NPRL2
TPH1,TPH1
SYN2,SYN2
EDAR,EDAR
CEP55,CEP55
TMIGD3,TMIGD3
LINC01506,LINC01506
EMB,EMB
TMCC1,TMCC1
QRSL1,QRSL1
BICRAL,BICRAL
DNASE1L3,DNASE1L3
NIBAN1,NIBAN1
ABCC4,ABCC4
P2RX1,P2RX1
GBP4,GBP4
SLC2A14,SLC2A14
STAT4,STAT4
SYNJ2,SYNJ2
VAMP1,VAMP1
DHFR,DHFR
NCK2,NCK2
TMEM30B,TMEM30B
B4GALT5,B4GALT5
MYO10,MYO10
ELOVL7,ELOVL7
DBNDD2,DBNDD2
PATL2,PATL2
MFN1,MFN1
RAP1GAP2,RAP1GAP2
MIR3681HG,MIR3681HG
LPAR6,LPAR6
CDT1,CDT1
MGST1,MGST1
SETD1B,SETD1B
LRRC32,LRRC32
FKBP1A,FKBP1A
NFATC2,NFATC2
TP53I3,TP53I3
IGHV4-59,IGHV4-59
MS4A4A,MS4A4A
PLXNC1,PLXNC1
SERP2,SERP2
CEP164,CEP164
GCDH,GCDH
SLC26A5,SLC26A5
DLG5,DLG5
GNS,GNS
KCNK13,KCNK13
GPR34,GPR34
GNAI2,GNAI2
