,cluster
0,2
1,0
2,1
3,1
4,1
5,1
6,2
7,2
8,2
9,0
10,2
11,0
12,2
13,1
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,2
22,0
23,0
24,1
25,0
26,0
27,0
28,0
29,1
30,2
31,0
32,0
33,0
34,0
35,0
36,2
37,0
38,2
39,2
40,0
41,0
42,0
43,0
44,1
45,0
46,1
47,2
48,0
49,2
50,0
51,0
52,2
53,0
54,2
55,2
56,1
57,0
58,1
59,1
60,1
61,0
62,2
63,0
64,0
65,0
66,1
67,2
68,0
69,1
70,0
71,0
72,1
73,0
74,0
75,0
76,2
77,1
78,1
79,0
80,2
81,1
82,2
83,0
84,1
85,0
86,1
87,1
88,2
89,0
90,2
91,0
92,1
93,0
94,0
95,0
96,0
97,1
98,2
99,2
