name,version,directory,repository,summary,from package.json,from license,from readme
@alloc/quick-lru,5.2.0,/Metro/vehicles_frontend/sveltenetics/node_modules/@alloc/quick-lru,sindresorhus/quick-lru,MIT,MIT,MIT,
@ampproject/remapping,2.3.0,/Metro/vehicles_frontend/sveltenetics/node_modules/@ampproject/remapping,https://github.com/ampproject/remapping,Apache;Apache-2.0,Apache-2.0,Apache,
@antfu/install-pkg,0.1.1,/Metro/vehicles_frontend/sveltenetics/node_modules/@antfu/install-pkg,https://github.com/antfu/install-pkg,MIT,MIT,MIT,
@antfu/utils,0.7.10,/Metro/vehicles_frontend/sveltenetics/node_modules/@antfu/utils,https://github.com/antfu/utils,MIT,MIT,MIT,
@aptos-labs/aptos-cli,0.1.9,/Metro/vehicles_frontend/sveltenetics/node_modules/@aptos-labs/aptos-cli,(none),Apache;ISC,ISC,Apache,
@aptos-labs/aptos-client,0.1.0,/Metro/vehicles_frontend/sveltenetics/node_modules/@aptos-labs/aptos-client,https://github.com/aptos-labs/aptos-core,Apache;Apache-2.0,Apache-2.0,Apache,
@aptos-labs/aptos-faucet-client,0.2.0,/Metro/vehicles_frontend/sveltenetics/node_modules/@aptos-labs/aptos-faucet-client,https://github.com/aptos-labs/aptos-core,Apache 2.0,Apache 2.0,,
@aptos-labs/ts-sdk,1.26.0,/Metro/vehicles_frontend/sveltenetics/node_modules/@aptos-labs/ts-sdk,(none),Apache;Apache-2.0,Apache-2.0,Apache,
@babel/code-frame,7.24.7,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/code-frame,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/compat-data,7.24.8,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/compat-data,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/core,7.24.8,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/core,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/generator,7.24.8,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/generator,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-annotate-as-pure,7.24.7,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/helper-annotate-as-pure,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-compilation-targets,7.24.8,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/helper-compilation-targets,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-create-class-features-plugin,7.24.8,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/helper-create-class-features-plugin,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-environment-visitor,7.24.7,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/helper-environment-visitor,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-function-name,7.24.7,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/helper-function-name,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-hoist-variables,7.24.7,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/helper-hoist-variables,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-member-expression-to-functions,7.24.8,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/helper-member-expression-to-functions,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-module-imports,7.24.7,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/helper-module-imports,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-module-transforms,7.24.8,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/helper-module-transforms,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-optimise-call-expression,7.24.7,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/helper-optimise-call-expression,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-plugin-utils,7.24.8,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/helper-plugin-utils,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-replace-supers,7.24.7,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/helper-replace-supers,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-simple-access,7.24.7,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/helper-simple-access,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-skip-transparent-expression-wrappers,7.24.7,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/helper-skip-transparent-expression-wrappers,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-split-export-declaration,7.24.7,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/helper-split-export-declaration,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-string-parser,7.24.8,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/helper-string-parser,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-validator-identifier,7.24.7,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/helper-validator-identifier,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helper-validator-option,7.24.8,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/helper-validator-option,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/helpers,7.24.8,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/helpers,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/highlight,7.24.7,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/highlight,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/parser,7.24.8,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/parser,https://github.com/babel/babel,MIT,MIT,,
@babel/plugin-syntax-jsx,7.24.7,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/plugin-syntax-jsx,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-syntax-typescript,7.24.7,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/plugin-syntax-typescript,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-modules-commonjs,7.24.8,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/plugin-transform-modules-commonjs,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-typescript,7.24.8,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/plugin-transform-typescript,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/preset-typescript,7.24.7,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/preset-typescript,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/template,7.24.7,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/template,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/traverse,7.24.8,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/traverse,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/types,7.24.8,/Metro/vehicles_frontend/sveltenetics/node_modules/@babel/types,https://github.com/babel/babel,MIT,MIT,MIT,
@floating-ui/core,1.6.4,/Metro/vehicles_frontend/sveltenetics/node_modules/@floating-ui/core,https://github.com/floating-ui/floating-ui,MIT,MIT,MIT,
@floating-ui/dom,1.6.7,/Metro/vehicles_frontend/sveltenetics/node_modules/@floating-ui/dom,https://github.com/floating-ui/floating-ui,MIT,MIT,MIT,
@floating-ui/utils,0.2.4,/Metro/vehicles_frontend/sveltenetics/node_modules/@floating-ui/utils,https://github.com/floating-ui/floating-ui,MIT,MIT,MIT,
@iconify/types,2.0.0,/Metro/vehicles_frontend/sveltenetics/node_modules/@iconify/types,https://github.com/iconify/iconify,GPL;MIT,MIT,MIT,GPL;MIT
@iconify/utils,2.1.25,/Metro/vehicles_frontend/sveltenetics/node_modules/@iconify/utils,https://github.com/iconify/iconify,ISC;MIT,MIT,ISC;MIT,MIT
@internationalized/date,3.5.4,/Metro/vehicles_frontend/sveltenetics/node_modules/@internationalized/date,https://github.com/adobe/react-spectrum/tree/main/packages/@internationalized/date,Apache;Apache-2.0,Apache-2.0,Apache,
